0,1
中文疾病名稱,英文疾病名稱
顏面燒燙傷合併五官功能障礙：,
眼及其附屬器官之燒傷,Burn confined to eye and adnexa
"臉及頭之燒傷，深部組織壞死
（深三度），伴有身體部位損害","Burn of face and head, deep necrosis of underlying tissues
(deep third degree) with loss of a body part"
燒燙傷面積達全身百分之二十以上：,
體表面積20-29％之燒傷,Burn of 20-29% of body surface
體表面積30-39％之燒傷,Burn of 30-39% of body surface
體表面積40-49％之燒傷,Burn of 40-49% of body surface
體表面積50-59％之燒傷,Burn of 50-59% of body surface
體表面積60-69％之燒傷,Burn of 60-69% of body surface
體表面積70-79％之燒傷,Burn of 70-79% of body surface
體表面積80-89％之燒傷,Burn of 80-89% of body surface
體表面積90-99％之燒傷,Burn of 90% or more of body surface
