0,1,2,3,4,5
項目,,項次,失能程度,失能等級,給付比例
"１
神
經","神經障害
（註1）",1-1-1,"中樞神經系統機能遺存極度障害，包括植物人狀態或氣切呼吸
器輔助，終身無工作能力，為維持生命必要之日常生活活動，
全須他人扶助，經常需醫療護理或專人周密照護者。",1,100%
,,1-1-2,"中樞神經系統機能遺存高度障害，須長期臥床或無法自行翻
身，終身無工作能力，為維持生命必要之日常生活活動之一部
分須他人扶助者。",2,90%
,,1-1-3,"中樞神經系統機能遺存顯著障害，終身無工作能力，為維持生
命必要之日常生活活動尚可自理者。",3,80%
,,1-1-4,"中樞神經系統機能遺存障害，由醫學上可證明局部遺存頑固神
經症狀，且勞動能力較一般顯明低下者。",7,40%
,,1-1-5,"中樞神經系統機能遺存障害，由醫學上可證明局部遺存頑固神
經症狀，但通常無礙勞動。",11,5%
"２
眼","視力障害
（註2）",2-1-1,雙目均失明者。,1,100%
,,2-1-2,雙目視力減退至0.06以下者。,5,60%
,,2-1-3,雙目視力減退至0.1以下者。,7,40%
,,2-1-4,一目失明，他目視力減退至0.06以下者。,4,70%
,,2-1-5,一目失明，他目視力減退至0.1以下者。,6,50%
,,2-1-6,一目失明者。,7,40%
"３
耳","聽覺障害
（註3）",3-1-1,兩耳鼓膜全部缺損或兩耳聽覺機能均喪失90分貝以上者。,5,60%
,,3-1-2,兩耳聽覺機能均喪失70分貝以上者。,7,40%
"４
鼻","缺損及機能障
害（註4）",4-1-1,鼻部缺損，致其機能永久遺存顯著障害者。,9,20%
,,4-1-2,鼻未缺損，而鼻機能永久遺存顯著障害者。,11,5%
"５
口","咀嚼吞嚥及
言語機能障害
（註5）",5-1-1,永久喪失咀嚼、吞嚥或言語之機能者。,1,100%
,,5-1-2,咀嚼、吞嚥及言語之機能永久遺存顯著障害者。,5,60%
,,5-1-3,咀嚼、吞嚥或言語構音之機能永久遺存顯著障害者。,7,40%
"６
胸
腹
部
臟
器","胸腹部臟器
機能障害
（註6）",6-1-1,"胸腹部臟器機能遺存極度障害，終身不能從事任何工作，經常
需要醫療護理或專人周密照護者。",1,100%
,,6-1-2,"胸腹部臟器機能遺存高度障害，終身不能從事任何工作，且日
常生活需人扶助。",2,90%
,,6-1-3,"胸腹部臟器機能遺存顯著障害，終身不能從事任何工作，但日
常生活尚可自理者。",3,80%
,,6-1-4,胸腹部臟器機能遺存顯著障害，終身祇能從事輕便工作者。,7,40%
,臟器切除,6-2-1,任一主要臟器切除二分之一以上者。,9,20%
,,6-2-2,脾臟切除者。,11,5%
,膀胱機能障害,6-3-1,膀胱機能完全喪失且無裝置人工膀胱者。,3,80%
"７
軀
幹","脊柱運動障害
（註7）",7-1-1,脊柱永久遺存顯著運動障害者。,7,40%
,,7-1-2,脊柱永久遺存運動障害者。,9,20%
"８
上
肢",上肢缺損障害,8-1-1,兩上肢腕關節缺失者。,1,100%
,,8-1-2,一上肢肩、肘及腕關節中，有二大關節以上缺失者。,5,60%
,,8-1-3,一上肢腕關節缺失者。,6,50%
,"手指缺損障害
（註8）",8-2-1,雙手十指均缺失者。,3,80%
,,8-2-2,雙手兩拇指均缺失者。,7,40%
,,8-2-3,一手五指均缺失者。,7,40%
,,8-2-4,一手包含拇指及食指在內，共有四指缺失者。,7,40%
,,8-2-5,一手拇指及食指缺失者。,8,30%
,,8-2-6,一手包含拇指或食指在內，共有三指以上缺失。,8,30%
,,8-2-7,一手包含拇指在內，共有二指缺失者。,9,20%
