0,1,2,3,4,5
,,8-2-8,一手拇指缺失或一手食指缺失者。,11,5%
,,8-2-9,一手拇指及食指以外之任何手指，共有二指以上缺失者。,11,5%
,"上肢機能障害
（註9）",8-3-1,兩上肢肩、肘及腕關節均永久喪失機能者。,2,90%
,,8-3-2,兩上肢肩、肘及腕關節中，各有二大關節永久喪失機能者。,3,80%
,,8-3-3,兩上肢肩、肘及腕關節中，各有一大關節永久喪失機能者。,6,50%
,,8-3-4,一上肢肩、肘及腕關節均永久喪失機能者。,6,50%
,,8-3-5,一上肢肩、肘及腕關節中，有二大關節永久喪失機能者。,7,40%
,,8-3-6,一上肢肩、肘及腕關節中，有一大關節永久喪失機能者。,8,30%
,,8-3-7,兩上肢肩、肘及腕關節均永久遺存顯著運動障害者。,4,70%
,,8-3-8,"兩上肢肩、肘及腕關節中，各有二大關節永久遺存顯著運動障
害者。",5,60%
,,8-3-9,"兩上肢肩、肘及腕關節中，各有一大關節永久遺存顯著運動障
害者。",7,40%
,,8-3-10,一上肢肩、肘及腕關節均永久遺存顯著運動障害者。,7,40%
,,8-3-11,"一上肢肩、肘及腕關節中，有二大關節永久遺存顯著運動障害
者。",8,30%
,,8-3-12,兩上肢肩、肘及腕關節均永久遺存運動障害者。,6,50%
,,8-3-13,一上肢肩、肘及腕關節均永久遺存運動障害者。,9,20%
,"手指機能障害
（註10）",8-4-1,雙手十指均永久喪失機能者。,5,60%
,,8-4-2,雙手兩拇指均永久喪失機能者。,8,30%
,,8-4-3,一手五指均永久喪失機能者。,8,30%
,,8-4-4,一手包含拇指及食指在內，共有四指永久喪失機能者。,8,30%
,,8-4-5,一手拇指及食指永久喪失機能者。,11,5%
,,8-4-6,一手含拇指及食指有三手指以上之機能永久完全喪失者。,9,20%
,,8-4-7,"一手拇指或食指及其他任何手指，共有三指以上永久喪失機能
者。",10,10%
"９
下
肢",下肢缺損障害,9-1-1,兩下肢足踝關節缺失者。,1,100%
,,9-1-2,一下肢髖、膝及足踝關節中，有二大關節以上缺失者。,5,60%
,,9-1-3,一下肢足踝關節缺失者。,6,50%
,"縮短障害
（註11）",9-2-1,一下肢永久縮短五公分以上者。,7,40%
,"足趾缺損障害
（註12）",9-3-1,雙足十趾均缺失者。,5,60%
,,9-3-2,一足五趾均缺失者。,7,40%
,"下肢機能障害
（註13）",9-4-1,兩下肢髖、膝及足踝關節均永久喪失機能者。,2,90%
,,9-4-2,兩下肢髖、膝及足踝關節中，各有二大關節永久喪失機能者。,3,80%
,,9-4-3,兩下肢髖、膝及足踝關節中，各有一大關節永久喪失機能者。,6,50%
,,9-4-4,一下肢髖、膝及足踝關節均永久喪失機能者。,6,50%
,,9-4-5,一下肢髖、膝及足踝關節中，有二大關節永久喪失機能者。,7,40%
,,9-4-6,一下肢髖、膝及足踝關節中，有一大關節永久喪失機能者。,8,30%
,,9-4-7,兩下肢髖、膝及足踝關節均永久遺存顯著運動障害者。,4,70%
,,9-4-8,"兩下肢髖、膝及足踝關節中，各有二大關節永久遺存顯著運動
障害者。",5,60%
,,9-4-9,"兩下肢髖、膝及足踝關節中，各有一大關節永久遺存顯著運動
障害者。",7,40%
,,9-4-10,一下肢髖、膝及足踝關節均遺存永久顯著運動障害者。,7,40%
,,9-4-11,"一下肢髖、膝及足踝關節中，有二大關節永久遺存顯著運動障
害者。",8,30%
,,9-4-12,兩下肢髖、膝及足踝關節均永久遺存運動障害者。,6,50%
,,9-4-13,一下肢髖、膝及足踝關節均永久遺存運動障害者。,9,20%
,"足趾機能障害
（註14）",9-5-1,雙足十趾均永久喪失機能者。,7,40%
,,9-5-2,一足五趾均永久喪失機能者。,9,20%
