0,1,2
編號,手術項目,"手術
給付倍數"
A、皮膚,,
1,顏面皮膚及皮下腫瘤切除術－直徑小於1公分,3
2,顏面皮膚及皮下腫瘤切除術－直徑1～2公分,5
3,顏面皮膚及皮下腫瘤切除術－直徑超過2公分,5
4,皮膚全層植補術,10
5,臉、頸部植皮,10
6,手部、會陰、腳植皮,10
7,管形皮膚移植術,20
8,肌肉或深部組織腫瘤切除術及異物取出術,3
9,"臉部以外皮膚及皮下腫瘤摘除術－ 小 小於2
公分",3
10,"臉部以外皮膚及皮下腫瘤摘除術－ 中 2公分
至4公分",3
11,"臉部以外皮膚及皮下腫瘤摘除術－ 大 4公分
至10公分",5
12,交指皮瓣移植術,10
13,多層皮膚移植－小於25平方公分,5
14,多層皮膚移植－超過25平方公分(含),10
15,複合移植,5
16,Ｚ－形皮瓣,5
17,V-Y 形皮瓣,5
18,氬氣雷射治療,5
19,二氧化碳雷射手術,5
20,腋下汗腺切除術 二邊,5
21,"皮膚惡性腫瘤切除及植皮術－ 直徑小於2公
分",20
22,皮膚惡性腫瘤切除及植皮術－ 直徑2-5公分,20
23,"皮膚惡性腫瘤切除及植皮術－ 直徑超過5公
分",30
24,肌肉瓣或肌皮瓣,20
25,咽部皮瓣手術,20
26,唇部皮瓣手術,20
27,口腔粘膜皮瓣手術,10
28,交腳皮瓣移植術,20
29,交掌皮瓣移植術,10
30,交臂皮瓣移植術,20
31,顯微血管游離瓣手術－ 皮瓣移植,40
32,顯微血管游離瓣手術－ 肌肉移植,40
33,顯微血管游離瓣手術－ 骨移植,40
34,顯微血管游離瓣手術－ 腸系膜移植,40
35,顯微血管游離瓣手術－ 小腸移植,40
36,顯微血管游離瓣手術－ 游離筋膜瓣移植,40
37,顯微血管游離瓣手術－ 游離功能性肌瓣移植,40
