0,1,2
編號,手術項目,"手術
給付倍數"
926,"膀胱全切除術及骨盆腔淋巴切除術及尿道全切
除術合併禁尿膀胱重建術",40
927,膀胱成形術或膀胱尿道成形術,10
928,"膀胱尿道成形術併單側或雙側輸尿管膀胱吻合
術",20
929,膀胱頸尿道前固定術或尿道固定術,5
930,膀胱縫合術,10
931,膀胱陰道瘻管閉合術，由腹部開刀,20
932,膀胱子宮瘻管閉合術，包含子宮切除術,10
933,膀胱腸管成形術，包含腸吻合,20
934,皮膚膀胱造口術,10
935,膀胱尿道鏡伴有輸尿管切開術,5
936,膀胱尿道鏡及輸尿管取石,5
937,經尿道膀胱頸切開術,5
938,碎石取出術、簡單（在膀胱內壓碎並除去）,5
939,碎石洗出術複雜性或大結石,10
940,腹式尿失禁手術,5
941,陰道式尿失禁手術（含Kelly plication）,5
942,陰道懸吊術,20
943,間質性膀胱炎膀胱尿道鏡擴張術,5
944,膀胱憩室電燒,10
945,部份膀胱及膀胱憩室切除術,10
946,膀胱破裂修補術,10
947,小腸膀胱增大術,20
948,膀胱懸吊術,10
949,KELLY手術,5
950,尿道人工擴約肌植入術,20
951,(後)腹腔鏡膀胱頸懸吊術,20
952,(後)腹腔鏡膀胱憩室切除術(單個或多發性者),10
953,尿道結石（異物）除去術,5
954,尿道狹窄修補手術－ 前段尿道,10
955,尿道狹窄修補手術－ 後段尿道,20
956,尿道整形術－ 包括陰莖或陰囊轉換,20
957,尿道整形術－ 重複,20
958,外尿道口息肉切除術,5
959,尿道造瘻術,5
960,尿道憩室手術－前（後）部尿道,10
961,尿道內切開術,5
962,直視下尿道切開術,5
963,尿道破裂手術－ 後段尿道,10
964,尿道破裂手術－ 前段尿道,5
965,尿道下裂手術,20
966,經尿道前列腺切開術,10
967,尿道腫瘤切除術,5
968,修補尿道皮瘻術,5
969,尿道瘻管修補術(前段),5
970,尿道瘻管修補術(後段),10
971,雙側海棉體破裂修復術,10
972,單側海棉體破裂修復術,5
973,尿道下裂重建術及陰莖痛性勃起矯正,30
974,全尿道切除術,10
975,尿道周膿瘍切開引流術,3
976,陰莖切片,3
977,陰莖部份切除術,5
978,陰莖全部切除術,10
979,陰莖癌陰莖全部切除術,20
980,陰莖癌陰莖全部切除合併會陰部尿道造口術,30
981,陰莖癌陰莖部份切除合併鼠蹊淋巴切除術,30
982,"陰莖癌陰莖全部切除合併鼠蹊淋巴切除術及會
陰部尿道造口術",30
